62 2 2
2 -0.069114 0.692777
2 0.747793 -0.761665
1 0.760492 -0.483351
2 0.202362 -0.509973
1 -0.479941 -0.102237
1 0.180540 -0.616574
1 0.455736 0.005211
1 -0.297433 -0.043571
1 0.021530 -0.277138
2 0.174067 -0.296865
2 0.979802 0.634022
1 0.133069 0.898167
2 0.018456 -0.824989
1 0.176229 0.377373
2 -0.455081 -0.586216
2 -0.424802 0.594324
2 -0.335630 0.566413
1 -0.223909 -0.731020
1 0.241873 0.806862
1 -0.093004 0.497281
2 -0.579075 0.477084
2 -0.339664 0.126505
1 -0.378271 -0.338687
2 0.616124 -0.646105
1 0.100545 -0.101186
2 -0.484566 0.990364
2 -0.686250 0.171087
1 0.117276 0.947178
1 0.393584 0.705403
2 -0.607246 -0.387601
1 -0.904940 0.549676
1 0.947739 -0.789988
1 0.698586 0.348094
2 -0.859205 0.480570
1 0.960378 0.097467
2 -0.289903 0.612902
2 0.570492 0.926652
1 0.997301 0.560280
1 0.209441 -0.046135
2 -0.771556 0.346619
1 -0.255271 0.958031
2 -0.261903 0.905771
2 -0.109325 -0.879291
2 0.704567 -0.222144
2 -0.127647 0.254586
2 0.455306 0.964683
2 -0.971376 -0.948472
2 -0.194268 -0.951171
2 0.530019 0.258270
1 0.959708 0.486715
1 0.518149 -0.252204
2 0.142618 -0.997755
1 0.493451 -0.107079
2 0.192379 -0.402512
1 -0.111772 0.469841
1 0.165193 0.441500
1 -0.912236 0.470124
1 -0.063013 -0.724144
2 0.346491 -0.677773
2 -0.290141 -0.718064
1 -0.547449 -0.683563
1 -0.846725 0.975407
